"Reference","Qty","Value","Footprint","Datasheet"
"C1","1","0.33u 50V","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C2","1","0.1u 50V","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"D1,D2","2","PG2010","Diode_THT:D_DO-27_P15.24mm_Horizontal","~"
"J1","1","B3B-XH-A","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J2","1","Jack-DC","Connector_BarrelJack:BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal","~"
"J3,J4","2","TB112-2-2-E-1","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"JP1,JP2","2","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"Q1,Q2","2","2SK4017","Package_TO_SOT_THT:TO-220-3_Vertical","~"
"R1,R2","2","120","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3,R4","2","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5,R6","2","820","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1,SW2","2","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"U1,U2","2","TLP785(GB F)","Package_DIP:DIP-4_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=10569&prodName=TLP785"
"U3","1","L78L05_TO92","Package_TO_SOT_THT:TO-92_Inline","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf"
